Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
23665,Pheasant Ridge MHC LLC,7848 East Hill Rd,"Mount Airy,MD,21771",Carroll,Environmental/Health Impact,,12/24/2015
23665,Pheasant Ridge MHC LLC,7848 East Hill Rd,"Mount Airy,MD,21771",Carroll,Environmental/Health Impact,09/30/2014,07/19/2011
23666,Sharptown WWTP,408 Little Water St,"Sharptown,MD,21861",Wicomico,Environmental/Health Impact,,02/06/2020
23668,Morning Cheer Sandy Cove Ministries,60 Sandy Cove Rd,"North East,MD,21901",Cecil,,05/30/2013,02/08/2011
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,,,09/01/2020
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Environmental/Health Impact,02/13/2019,11/08/2018
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Environmental/Health Impact,06/28/2018,03/07/2018
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Environmental/Health Impact,04/10/2018,04/20/2017
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,,09/06/2012,09/26/2011
23670,Holiday Mobile Estates WWTP,7810 Clark Rd & Keith Lane,"Jessup,MD,20794",Anne Arundel,Environmental/Health Impact,,05/13/2019
23670,Holiday Mobile Estates WWTP,7810 Clark Rd & Keith Lane,"Jessup,MD,20794",Anne Arundel,Environmental/Health Impact,07/29/2015,11/17/2008
23684,Tolchester WWTP,22010 Bay Shore Rd,"Chestertown,MD,21620",Kent,Environmental/Health Impact,04/17/2018,09/12/2011
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Road,"Westover,MD,21871",Somerset,Environmental/Health Impact,05/22/2019,03/12/2012
23689,"Shuler's All Pro Car Wash, Inc.",11070 Cathell Rd.,"Berlin,MD,21811",Worcester,Environmental/Health Impact,02/14/2014,08/04/2010
23692,Attention To Detail Auto Salon,120 N Paradise Road,"Havre De Grace,MD,21078",Harford,,,01/30/2019
23692,Attention To Detail Auto Salon,120 N Paradise Road,"Havre De Grace,MD,21078",Harford,,01/11/2019,02/24/2013
23872,John J. DiFonzo Water Reclamation Facility,400 E Offutt St,"Cumberland,MD,21502",Allegany,,,
23922,Severn School,201 Water St,"Severna Park,MD,21146",Anne Arundel,,12/10/2014,09/04/2014
24035,Cox Creek WWTP,8833 Wagner Station Road,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,10/02/2018,05/04/2018
24035,Cox Creek WWTP,8833 Wagner Station Road,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,10/08/2014,10/01/2013
24046,Anne Arundel County School Transportation Garage,8229 Waterford Road,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,02/27/2017,09/07/2016
24266,Suburban Airservice,520 Brock Bridge Road,"Laurel,MD,20724",Anne Arundel,Environmental/Health Impact,06/19/2013,03/20/2008
24318,Ferndale Shell FSH Incorporated,7177 Baltimore Annapolis Blvd,"Glen Burnie,MD,21061",Anne Arundel,Environmental/Health Impact,04/08/2016,06/29/2015
24389,Dillon's Bus Service,7479 New Ridge Road,"Hanover,MD,21076",Anne Arundel,Environmental/Health Impact,,11/22/2019
24393,Aggregate Industries - Annapolis RMC,8000 Brock Bridge Road,"Jessup,MD,20794",Anne Arundel,Environmental/Health Impact,09/21/2017,04/22/2008
24415,Atria Manresa Nursing Home,85 Manresa Rd,"Annapolis,MD,21409",Anne Arundel,Environmental/Health Impact,,02/08/2018
24415,Atria Manresa Nursing Home,85 Manresa Rd,"Annapolis,MD,21409",Anne Arundel,Environmental/Health Impact,04/02/2015,05/04/2011
24483,Chase Elementary School,11701 Eastern Ave,"Middle River,MD,21220",Baltimore,,09/28/2011,07/07/2011
24703,Oldfields School,1500 Glencoe Rd,"Sparks Glencoe,MD,21152",Baltimore,Environmental/Health Impact,04/05/2013,08/11/2009
24824,"J. W. Treuth & Sons, Inc",328 Oella Avenue,"Catonsville,MD,21228",Baltimore,Environmental/Health Impact,11/13/2012,01/06/2012
25245,Hilton Gardens Inn,4770 Owings Mills Boulevard,"Owings Mills,MD,21117",Baltimore,Environmental/Health Impact,05/19/2014,07/24/2012
25373,Huntingtown High School,4125 Solomons Island Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,10/12/2013,08/18/2010
25374,Calverton School,300 Calverton School Road,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,12/19/2013,06/10/2013
25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Environmental/Health Impact,02/02/2021,02/29/2020
25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Environmental/Health Impact,10/20/2020,11/15/2019
25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,,09/10/2012,03/24/2010
25771,Gale-Bailey Elementary School,4740 Pisgah-Marbury Road,"Marbury,MD,20658",Charles,Environmental/Health Impact,,03/09/2017
25781,Piccowaxen Middle School,12834 Rock Point Rd,"Newburg,MD,20664",Charles,Environmental/Health Impact,06/21/2010,03/13/2009
25886,"Charles County Nursing & Rehab Center, Inc.",10200 La Plata Road,"La Plata,MD,20646",Charles,Environmental/Health Impact,08/08/2018,04/24/2018
25927,North Dorchester High School,5875 Cloverdale Rd,"Hurlock,MD,21643",Dorchester,Environmental/Health Impact,02/28/2020,11/13/2019
25951,"Norris E. Taylor Contractors, Inc.",9 Washington Street,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,03/07/2013,11/02/2012
26474,APG-Aberdeen Area,Aberdeen Area- APG,"Aberdeen Proving Ground,MD,21005",Harford,Environmental/Health Impact,10/26/2016,09/15/2010
26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,,10/16/2019,04/04/2019
26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Environmental/Health Impact,12/11/2018,01/04/2018
26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Environmental/Health Impact,09/18/2014,07/01/2014
26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Environmental/Health Impact,08/14/2012,12/30/2013
28150,WSSC Piscataway WRRF,11 W Farmington Rd,"Accokeek,MD,20607",Prince George's,Environmental/Health Impact,04/29/2019,02/26/2014
28150,WSSC Piscataway WRRF,11 W Farmington Rd,"Accokeek,MD,20607",Prince George's,Environmental/Health Impact,11/19/2013,10/02/2013
28150,WSSC Piscataway WRRF,11 W Farmington Rd,"Accokeek,MD,20607",Prince George's,Environmental/Health Impact,01/17/2013,07/13/2012
28336,Chaney Enterprises,5200 Chrysler Way,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,09/23/2015,03/22/2010
28428,Mobil,7110 Crain Hwy,"Bowie,MD,20715",Prince George's,Environmental/Health Impact,03/20/2017,04/10/2009
28954,Recycle One Processing & Transfer Station,4700 Lawrence Street,"Hyattsville,MD,20781",Prince George's,Environmental/Health Impact,,10/30/2019
29004,"Aggregate & Dirt Solutions, LLC",5900 Sheriff Road,"Capitol Heights,MD,20743",Prince George's,Environmental/Health Impact,11/28/2018,01/11/2016
29018,"United Road Services, Inc.",2155-C Northbridge Ave,"Curtis Bay,MD,21226",Baltimore City,,04/12/2013,05/03/2012
29138,Eastern Pre-Release Unit,700 Flat Iron Square Rd,"Church Hill,MD,21623",Queen Anne's,Environmental/Health Impact,,03/24/2017
29661,Salisbury Armory,28722 Ocean Gateway,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,07/12/2013,12/12/2011
29684,Mardela Middle & High Schools,24940 Delmar Rd,"Mardela Springs,MD,21837",Wicomico,Environmental/Health Impact,04/15/2009,10/06/2008
29763,Newland Park Municipal Landfill,7161 Brick Kiln Rd,"Salisbury,MD,21801",Wicomico,,01/12/2016,02/03/2012
29808,"Jubilant Cadista Pharmaceuticals, Inc.",207 Kiley Drive,"Salisbury,MD,21801",Wicomico,,02/13/2020,04/09/2019
29895,Hooper's Crab House,12913 Ocean Gateway,"West Ocean City,MD,21842",Worcester,Environmental/Health Impact,09/23/2016,04/03/2009
31218,"Emanuel Tire, LLC",1300 Moreland Ave,"Baltimore,MD,21216",Baltimore City,Environmental/Health Impact,,07/04/2018
31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Environmental/Health Impact,10/02/2012,03/22/2012
31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Environmental/Health Impact,03/06/2018,10/12/2016
31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Environmental/Health Impact,05/26/2016,05/13/2015
31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Environmental/Health Impact,01/30/2015,09/08/2014
31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Environmental/Health Impact,03/11/2014,09/06/2013
31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Environmental/Health Impact,10/03/2012,08/07/2012
31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Environmental/Health Impact,07/17/2017,06/01/2017
31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Environmental/Health Impact,11/14/2014,09/02/2014
31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Environmental/Health Impact,09/09/2013,08/22/2013
31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Environmental/Health Impact,03/21/2013,12/27/2012
31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Environmental/Health Impact,12/27/2012,07/03/2012
31397,Calvert County Sanitary Sewer Overflows,County Wide Sewerage System,"Calvert County Wide,MD,",Calvert,Environmental/Health Impact,09/12/2016,10/02/2013
31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Environmental/Health Impact,11/25/2016,10/28/2015
31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Environmental/Health Impact,09/11/2015,09/11/2015
31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Environmental/Health Impact,05/15/2013,02/15/2013
31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Environmental/Health Impact,07/22/2016,09/01/2015
31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Environmental/Health Impact,08/16/2012,08/01/2012
31402,Carroll County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Carroll,Environmental/Health Impact,06/06/2015,04/15/2015
31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Environmental/Health Impact,11/02/2020,01/31/2020
31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Environmental/Health Impact,04/04/2017,12/15/2016
31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Environmental/Health Impact,07/09/2015,04/29/2015
31404,Garrett County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Garrett,Environmental/Health Impact,07/15/2016,07/15/2016
31404,Garrett County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Garrett,Environmental/Health Impact,03/13/2015,09/30/2014
31406,Washington County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Washington,Environmental/Health Impact,,01/31/2020
31406,Washington County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Washington,Environmental/Health Impact,03/24/2017,03/07/2017
31406,Washington County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Washington,Environmental/Health Impact,07/22/2015,01/29/2015
31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,,03/10/2020,02/04/2020
31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Environmental/Health Impact,03/31/2015,12/15/2014
31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Environmental/Health Impact,05/15/2013,09/12/2012
31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Harford,Environmental/Health Impact,08/23/2016,06/08/2016
31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Harford,Environmental/Health Impact,06/03/2015,02/13/2013
31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Harford,Environmental/Health Impact,08/02/2012,04/25/2012
31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Environmental/Health Impact,09/06/2019,08/09/2019
31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Environmental/Health Impact,03/06/2018,10/25/2017
31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Environmental/Health Impact,11/12/2014,08/29/2014
31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Environmental/Health Impact,07/22/2015,06/16/2015
31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Environmental/Health Impact,08/12/2014,07/17/2014
31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Environmental/Health Impact,08/16/2013,08/16/2012
31412,Queen Anne's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Queen Anne's,Environmental/Health Impact,07/22/2015,04/20/2015
31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,,03/11/2020,02/13/2020
31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Environmental/Health Impact,03/20/2017,03/07/2017
31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Environmental/Health Impact,02/25/2016,12/08/2015
31414,Talbot County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Talbot,Environmental/Health Impact,05/05/2016,10/21/2015
31416,Worcester County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Environmental/Health Impact,08/04/2016,04/21/2016
31416,Worcester County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Environmental/Health Impact,06/09/2015,12/30/2014
31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Environmental/Health Impact,09/11/2019,07/01/2017
31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,,10/30/2018
31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,08/04/2017,05/12/2014
31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,04/12/2013,12/18/2008
31553,"Kemira Water Solutions, Inc. - Baltimore Plant",3925 Fort Armistead Road,"Curtis Bay,MD,21226",Baltimore City,Environmental/Health Impact,03/04/2015,11/17/2014
31562,"Greenlight Biofuels Princess Anne, LLC",11501 Progress Lane,"Princess Anne,MD,21853",Somerset,Environmental/Health Impact,07/24/2015,03/29/2012
31572,Fuel City - 2815 Chestnut Ridge Rd,2815 Chestnut Ridge Rd,"Grantsville,MD,21536",Garrett,Environmental/Health Impact,05/02/2016,03/14/2012
31698,Camp Winona,6825 Winona Place,"Hughesville,MD,20637",Charles,Environmental/Health Impact,06/09/2014,10/26/2009
31775,Maryland Correctional Institution (MCI) WWTP,18901 Roxbury Road,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,,01/31/2020
31782,Brandon Shores Generating Station,"2030 Brandon Shores Rd,","Curtis Bay,MD,21226",Anne Arundel,,02/26/2019,02/07/2019
31795,Lake Haven Mobile Home Park WWTP,11003 Grays Corner Rd,"Berlin,MD,21811",Worcester,Environmental/Health Impact,01/22/2021,07/17/2017
31846,"C. A. Bean, Inc. - Mechanicsville",29056 Three Notch Rd,"Mechanicsville,MD,20659",St. Mary's,Environmental/Health Impact,08/08/2012,09/12/2008
32137,Elizabeth Wilson Residence,Whale Point Lane,"Rock Hall,MD,21661",Kent,,06/20/2019,10/06/2014
32172,Southern States Cooperative,881 Wilson Rd,"Rising Sun,MD,21911",Cecil,Environmental/Health Impact,10/13/2009,06/04/2007
32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Environmental/Health Impact,01/07/2015,12/17/2013
32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Environmental/Health Impact,10/12/2012,01/06/2012
32377,Buzz's Marina,49675 Buzz's Marina Way,"Ridge,MD,20680",St. Mary's,Environmental/Health Impact,05/06/2013,12/08/2009
32445,The Gardens Ice House,13800 Old Gunpowder Rd,"Laurel,MD,20707",Prince George's,Environmental/Health Impact,10/04/2016,05/29/2015
32502,Harford County Public Schools Administration Building,102 S. Hickory Avenue,"Bel Air,MD,21014",Harford,Environmental/Health Impact,12/21/2012,07/18/2012
32506,"WM Recycle America, LLC",7175 Kit Kat Rd,"Elkridge,MD,21075",Howard,Environmental/Health Impact,02/05/2019,04/03/2014
32533,College of Southern Maryland - Flagship Building,115 J.W. Williams Road,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,09/13/2013,05/03/2013
32533,College of Southern Maryland - Flagship Building,115 J.W. Williams Road,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,09/09/2013,05/02/2013
32582,Maryland Department of Transportation,7201 Corporate Center Dr,"Hanover,MD,21076",Anne Arundel,Environmental/Health Impact,09/21/2017,09/24/2009
32590,Easton Utilities,201 N Washington Street,"Easton,MD,21601",Talbot,,05/11/2020,02/07/2020
33422,Harford County Auto Parts,3610 Conowingo Road,"Street,MD,21154",Harford,Environmental/Health Impact,,07/08/2019
33550,"Byrd Tire & Automotive Services, LLC",1720 Dual Hwy,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,12/19/2012,07/24/2012
35012,Maryland Wholesale Produce Market,7460 Conowingo Ave,"Jessup,MD,20794",Howard,Environmental/Health Impact,06/18/2013,12/05/2012
35046,Lawrence Street Industry,2911 52nd Ave,"Hyattsville,MD,20781",Prince George's,Environmental/Health Impact,03/01/2019,07/06/2017
35223,"Dixie Construction Company, Inc",260 Hopewell Road,"Churchville,MD,21028",Harford,Environmental/Health Impact,07/13/2020,09/29/2015
35295,LKQ Pick Your Part (1208),3923 Twin Arch Rd,"Mount Airy,MD,21771",Carroll,Environmental/Health Impact,,02/02/2017
35508,"Safeway Moving and Storage, Inc",1701 Leland Ave,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,07/19/2014,08/01/2012
35726,Modern Industries,9343 Guy Ward Rd,"Parsonburg,MD,21849",Wicomico,Environmental/Health Impact,,04/24/2015
36037,Town of North East,106 S Main St,"North East,MD,21901",Cecil,Environmental/Health Impact,04/07/2017,04/28/2007
36583,Harford Waste Disposal Center,3243 Scarboro Rd,"Street,MD,21154",Harford,,10/14/2015,07/14/2015
36684,Bennett Processing Facility,515 S Camden Ave,"Fruitland,MD,21826-1216",Wicomico,Environmental/Health Impact,11/20/2019,02/23/2015
36735,Calvert Wood Recycling,6585 Ripley Road,"La Plata,MD,20646",Charles,Environmental/Health Impact,04/20/2016,01/20/2016
36905,"Bessie M. Herbert property, CH-113",7761 Waldorf Leonardtown Road,"Hughesville,MD,20637",Charles,,10/07/2013,07/31/2013
37731,Gannon Family Limited Partnership Farm,30413 Rabbit Hill Road,"Easton,MD,21601",Talbot,Environmental/Health Impact,08/29/2013,01/12/2010
38112,"Urban N. Zink Contractor, Inc",6924 Ebenezer Road,"Chase,MD,21027",Baltimore,Environmental/Health Impact,01/23/2013,06/10/2010
38287,Performance Food Group,1520 Elkton Road,"Elkton,MD,21921",Cecil,Environmental/Health Impact,04/04/2019,06/12/2015
38363,Delmarva Power and Light,800 KING ST,"WILMINGTON,DE,19899",Outside of Maryland,Environmental/Health Impact,03/01/2016,03/31/2015
38604,"Ecology Services, Inc.",8240 Baltimore Annapolis Blvd,"Pasadena,MD,21122",Anne Arundel,,,
38832,"Avenel - TPC Dam #3, Avenel Tournament Players Club",7911 Sandalfoot Dr,"Rockville,MD,20854",Montgomery,Environmental/Health Impact,11/28/2018,09/21/2018
44639,William L. Tarbutton,3542 Seaman Rd,"Preston,MD,21655",Caroline,Environmental/Health Impact,11/08/2013,09/05/2011
47641,Wally Diller,18960 Wicomico River Dr,"Cobb Island,MD,20625",Charles,Environmental/Health Impact,07/06/2016,08/06/2009
53098,Roy A. Williams,PO Box 254,"Loveville,MD,20656",St. Mary's,Environmental/Health Impact,12/11/2015,01/31/2015
62832,Bernard J. Thien,2609 Old House Point Road,"Fishing Creek,MD,21634",Dorchester,Environmental/Health Impact,12/06/2012,03/25/2009
63616,Red Hill Lots (1-84) Phase 2 - Ben BLVD and Erin Court Lots 18-56,"Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921, 39.61253°, -75.80515°","Elkton,MD,21921",Cecil,Environmental/Health Impact,09/14/2012,02/11/2009
63670,Mark Matovich Property,Criss Ford Rd,"Buckeystown,MD,21770",Frederick,Environmental/Health Impact,12/21/2012,07/22/2008
63672,"SHA, MD 200 Intercounty Connector Contract C",BETWEEN I-270 TO US 1 SO,"Beltsville,MD,20705",Prince George's,Environmental/Health Impact,08/06/2012,12/09/2009
63672,"SHA, MD 200 Intercounty Connector Contract C",BETWEEN I-270 TO US 1 SO,"Beltsville,MD,20705",Prince George's,Environmental/Health Impact,08/06/2012,11/07/2008
63717,Deborah Buniski,Margrits Lane,"Trappe,MD,21673",Talbot,Environmental/Health Impact,02/05/2013,08/12/2008
63812,Mary Jo and James A. Donohoe III,14605 Banks O'Dee Rd,"Newburg,MD,20664",Charles,Environmental/Health Impact,08/19/2009,07/23/2008
63829,Howard & Sandra Dent,"15363 Potomac River Dr, 08-PR-0961","Cobb Island,MD,20625",Charles,Environmental/Health Impact,03/28/2018,07/21/2008
63829,Howard & Sandra Dent,"15363 Potomac River Dr, 08-PR-0961","Cobb Island,MD,20625",Charles,Environmental/Health Impact,03/29/2018,07/21/2008
63952,Masonville Dredged Material Containment Facility,2900 Childs St,"Baltimore,MD,21226",Baltimore City,Environmental/Health Impact,08/02/2012,12/11/2008
63954,Cedarhurst - Poplar Ave Subdivision Extension,"U.S. Financial Capital, Inc., ET AL., Poplar Ave, Cedarhurst Subdivision","Shady Side,MD,20764",Anne Arundel,Environmental/Health Impact,07/25/2016,04/21/2006
63964,Toby Miller,"11701 Amherst Ave, Bowman's Addition","Cumberland,MD,21502",Allegany,Environmental/Health Impact,02/28/2013,04/08/2010
63996,Hunters Oak,"911 Petino Pl, Stevensville, 500 Amberly Farm Lane","Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,02/26/2013,04/02/2009
64006,MO DGS/Casey Parcel 6&7,CRABBS BRANCH WAY,"Gaithersburg,MD,20855",Montgomery,Environmental/Health Impact,02/04/2013,10/03/2012
64054,Joseph and Stella Hayse,Greenbank Rd and Oak Rd,"Perryville,MD,21903",Cecil,Environmental/Health Impact,06/26/2013,08/08/2008
64129,Hilmer property,"Wayne Hilmer, 1750 Romancoke Rd","Stevensville,MD,21666",Queen Anne's,Environmental/Health Impact,05/17/2014,10/26/2007
64178,"708 W. Baker Avenue, Abington MD",708 W. Baker Ave,"Abingdon,MD,21009",Harford,Environmental/Health Impact,11/30/2009,08/27/2008
64215,Delano Road Storm Drain,7716 DELANO RD,"Clinton,MD,20735",Prince George's,Environmental/Health Impact,03/20/2017,08/04/2009
64219,Brian Conner,3920 Germantown Rd,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,,04/21/2009
64232,Watkins Park Land LLC-Chambers Estates,Florist Place,"Temple Hills,MD,20748",Prince George's,Environmental/Health Impact,12/24/2014,09/11/2014
64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Environmental/Health Impact,07/02/2018,08/05/2015
64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Environmental/Health Impact,07/01/2015,11/16/2009
64301,CJ Wood Property,2201 Garrity Rd,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,10/01/2013,12/12/2008
64361,The Meadows @ Cambridge,5242 Woods Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,08/27/2014,03/25/2011
64368,"Bayside Real Estate, LLC",1303 S Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,05/04/2011,02/27/2009
64376,Fahrney Keedy WWTP/Fahrney Keedy Home & Village Cottage 63,-,"Boonsboro,MD",Washington,Environmental/Health Impact,,01/31/2020
64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,,,07/14/2020
64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,Environmental/Health Impact,06/15/2020,11/12/2019
64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,Environmental/Health Impact,06/09/2015,02/07/2015
64398,Heron Ponds,30503 E Line Rd,"Delmar,MD,21801",Wicomico,Environmental/Health Impact,03/13/2012,11/04/2011
64533,"Grassland Plantation, Inc.",321 KIBLER ROAD,"Chestertown,MD,21620",Kent,Environmental/Health Impact,09/02/2014,10/22/2010
64534,Irishtown,"Irishtown Limited Partnership, Pintail Point Farm Lane","Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,05/04/2012,06/06/2007
64615,686 210th Street,686 210TH ST,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,09/30/2013,07/22/2008
64656,472 Old Orchard Circle Douglas Deitrick,472 OLD ORCHARD CIRCLE,"Millersville,MD,21108",Anne Arundel,Environmental/Health Impact,12/20/2012,03/14/2006
64659,WeCare Denali,7901 Kabik Ct,"Woodbine,MD,21797",Carroll,Environmental/Health Impact,03/22/2013,07/05/2011
64671,Bill's Auto Parts,7930 Solley Rd,"Glen Burnie,MD,20161",Anne Arundel,Environmental/Health Impact,07/28/2016,11/28/2007
64770,Richard Meadows,524 Telegraph Road,"Rising Sun,MD,21911",Cecil,Environmental/Health Impact,09/04/2015,03/06/2008
64774,Hilltop Mobile Home Park,18120 Henderson Rd,"Marydel,MD,21649",Caroline,Environmental/Health Impact,06/06/2012,03/10/2006
64777,E. S. Adkins & Co. - Wood Yard Hunt Club,Catchpenny Rd,"Quantico,MD,21856",Wicomico,Environmental/Health Impact,02/03/2015,04/01/2009
