"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"224",22310,"Clearview Golf & Country Club","5650 Country Club Rd","Cambridge,MD,21613","Dorchester","Complaint & Order",NA,"06/18/2010","09/26/2010","Surface Water Discharge Unauthorized",NA,38.5847409855846,-76.1182599679301
"225",22525,"Wynnewood Recreation Center","5731 Oakland Rd","Baltimore,MD,21227","Baltimore","Amended Consent Order","CO-18-2535","05/31/2018","01/09/2019","Surface Water Discharge Permit",NA,39.2353189964801,-76.6948759822739
"226",22913,"Castaways RV Resort and Campground","12550 Eagles Nest Rd","Berlin,MD,21811","Worcester","Complaint, Order, Penalty","AOP-13-1721","08/03/2012","01/08/2013","Groundwater Discharge Permit;Groundwater Discharge Unauthorized","Municipal Minor",38.3071990932648,-75.1213085373303
"227",22913,"Castaways RV Resort and Campground","12550 Eagles Nest Rd","Berlin,MD,21811","Worcester","Settlement Agreement","SAP-13-1834","01/08/2013","05/27/2014","Groundwater Discharge Permit;Groundwater Discharge Unauthorized","Municipal Minor",38.3071990932648,-75.1213085373303
"228",22913,"Castaways RV Resort and Campground","12550 Eagles Nest Rd","Berlin,MD,21811","Worcester","Consent Order","COP-14-2065","03/06/2014","07/01/2014","Groundwater Discharge Permit;Groundwater Discharge Unauthorized",NA,38.3071990932648,-75.1213085373303
"229",22919,"Sudlersville WWTP","416 S Church St, at inetrsection of Goldsboro Rd & Elevator Rd","Sudlersville,MD,21668","Queen Anne's","Penalty Settlement","PS-15-2134","09/09/2014","09/24/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.1781600326059,-75.857599878729
"230",22927,"Summerhill Mobile Home Park WWTP","1701 Crownsville Rd, on unpaved Rd onsite","Crownsville,MD,21032","Anne Arundel","Penalty Settlement","PS-18-2523","04/05/2018","04/30/2018","Surface Water Discharge Permit","Municipal Minor",39.0068480132871,-76.5890169874472
"231",22927,"Summerhill Mobile Home Park WWTP","1701 Crownsville Rd, on unpaved Rd onsite","Crownsville,MD,21032","Anne Arundel",NA,"PS-21-2674","10/21/2020",NA,"Surface Water Discharge Permit","Municipal Minor",39.0068480132871,-76.5890169874472
"232",22929,"Maple Hill Mobile Home Park","3 Buttonwood Lane","Port Deposit,MD,21904","Cecil","Consent Order","CO-15-2146","09/22/2014","03/09/2018","Surface Water Discharge Permit","Municipal Minor",39.6314098707315,-76.0838357734545
"233",22933,"GenON MD Ash Management LLC Brandywine","11700 N Keys Rd","Brandywine,MD,20613","Prince George's","Penalty Settlement","PS-17-2464","05/09/2017","05/12/2017","Surface Water Discharge Unauthorized","Industrial Minor",38.6995394055857,-76.8004327254486
"234",22934,"Charlotte Hall Center, Inc. WWTP","29940 Three Notch Rd","Charlotte Hall,MD,20622","St. Mary's","Settlement Agreement","SA-15-2128","08/13/2014","09/10/2014","Groundwater Discharge Permit","Municipal Minor",38.4912339822445,-76.7740660238128
"235",22943,"BFS-Bruceton Farm Servcies Truck Stop WWTP","4168 National Pike","Grantsville,MD,21536","Garrett","Consent Order","COP-15-2140","09/09/2014",NA,"Surface Water Discharge Permit","Municipal Minor",39.690884989734,-79.2459770291461
"236",22946,"Mill Bottom WWTP","4774 Bill Moxley Rd","Mount Airy,MD,21771","Frederick","Consent Order","CO-15-2121","09/25/2014","11/09/2016","Surface Water Discharge Permit","Municipal Minor",39.3506777268884,-77.2049203787708
"237",22951,"Allegany County Combined Sewer Overflows","11427 Upper Georges Creek Road","Frostburg,MD,21532","Allegany","Consent Decree","1-C-00-18342L","12/14/2001",NA,"Surface Water Discharge Unauthorized","Collection System (CSO)",39.6377087000685,-78.9304730527111
"238",22962,"Lisbon Shopping Plaza","700-712 Lisbon Center Dr","Woodbine,MD,21797","Howard","Consent Order","COP-15-2254","05/14/2015",NA,"Groundwater Discharge Permit","Municipal Minor",39.3495590142624,-77.0670070017818
"239",22962,"Lisbon Shopping Plaza","700-712 Lisbon Center Dr","Woodbine,MD,21797","Howard",NA,"SP-20-2650","05/19/2020","09/01/2020","Groundwater Discharge Permit","Industrial Minor",39.3495590142624,-77.0670070017818
"240",22963,"Preserve at Wye Mills WWTP","13525 Rustling Oaks Drive","Wye Mills,MD,21679","Talbot","Penalty Settlement","PS-15-2302","08/13/2015","08/26/2015","Groundwater Discharge Permit","Municipal Minor",38.9214638117491,-76.0704064351656
"241",22972,"Calvert Gateway WWTP and WTP","10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754","Calvert","Consent Order","CO-15-2228","03/13/2015","08/16/2016","Groundwater Discharge Permit",NA,38.7234929105183,-76.6560938052335
"242",22972,"Calvert Gateway WWTP and WTP","10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754","Calvert","Consent Order","SA-19-2552","09/19/2018",NA,"Groundwater Discharge Permit","Municipal Minor",38.7234929105183,-76.6560938052335
"243",22987,"Stoney Creek Bridge Marina","430 Greenland Beach Rd","Baltimore,MD,21226","Anne Arundel","Complaint & Penalty","AP-14-1984","09/09/2013","09/17/2014","Surface Water Discharge Permit","Industrial Minor",39.1630340081508,-76.5269909877701
"244",23058,"Baltimore Scrap Corporation","3000 Vera St","Curtis Bay,MD,21226","Baltimore City","Consent Order","SA-18-2503","12/21/2017",NA,"Stormwater Management","Industrial Stormwater",39.241500415909,-76.5767130369868
"245",23169,"Seymour, Inc","30085 Charlotte Hall Rd","Charlotte Hall,MD,20622","St. Mary's",NA,NA,NA,NA,"Not Assigned",NA,38.496045990766,-76.7780249639486
"246",23169,"Seymour, Inc","30085 Charlotte Hall Rd","Charlotte Hall,MD,20622","St. Mary's","Settlement Agreement",NA,"08/09/2012","09/30/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",38.496045990766,-76.7780249639486
"247",23210,"Universal Distribution Services, Inc","4000 Universal Trade Dr","Dundalk,MD,21222","Baltimore","Settlement Agreement","SAP-16-2348","12/15/2015","01/11/2016","Surface Water Discharge Permit","Industrial Stormwater",39.2764039849862,-76.4631600292437
"248",23243,"Forty West Municipal Landfill","12630 Earth Care Rd","Hagerstown,MD,21740","Washington","Penalty Settlement","PS-13-1773","10/03/2012","11/13/2012","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6565507232151,-77.81994927903
"249",23434,"Smithsburg WWTP","22523 Leitersburg - Smithburg Rd","Smithsburg,MD,21783","Washington","Settlement Agreement","SAP-15-2276","07/06/2015","07/23/2015","Surface Water Discharge Permit","Municipal Minor",39.6637580073996,-77.5838670025776
"250",23447,"WA DES- C William Winebrenner WWTP","25040 Pen Mar Rd","Cascade,MD,21719","Washington","Consent Order","CA-12-1522","12/28/2011","08/24/2017","Surface Water Discharge Permit",NA,39.7132619886972,-77.4954909820812
"251",23448,"Aberdeen Area Wastewater Treatment Plant","6375 Static St","Aberdeen Proving Ground,MD,21005","Harford","Consent Order","CO-12-1566","01/18/2012","10/20/2015","Surface Water Discharge Permit","Municipal Major",39.4981678997191,-76.1509130996871
"252",23458,"Burch Farms","Mt. Wolfe Rd & Indian Creek Dr","Charlotte Hall,MD,20622","St. Mary's","Consent Order","COP-16-2363","02/04/2016","04/20/2018","Groundwater Discharge Permit","Municipal Minor",38.5014700462107,-76.7705599576493
"253",23478,"Town of Indian Head WWTP","1 Hailey Rd","Indian Head,MD,20640","Charles","Penalty Settlement","PS-16-2341","12/04/2015","12/15/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.5953546232355,-77.159048982274
"254",23479,"Grantsville WWTP","10300 Block of National Pike","Grantsville,MD,21536","Garrett","Consent Order","CO-20-2621","11/26/2019",NA,"Surface Water Discharge Permit","Municipal Minor",39.6958289383554,-79.1427201770164
"255",23481,"Hancock WWTP","Hess Road (NE of Hancock)","Hancock,MD,21750","Washington","Consent Order","COP-15-2255","05/15/2015",NA,"Surface Water Discharge Permit","Municipal Minor",39.7016486997982,-78.184444299721
"256",23481,"Hancock WWTP","Hess Road (NE of Hancock)","Hancock,MD,21750","Washington","Stipulated Penalty","COP-15-2255","07/29/2020","08/13/2020","Surface Water Discharge Permit","Municipal Minor",39.7016486997982,-78.184444299721
"257",23482,"The City of Westminster WWTP","1161 Old New Windsor Pike","Westminster,MD,21158","Carroll","Consent Order","CO-12-1522","11/15/2011",NA,"Surface Water Discharge Permit","Municipal Major",39.5594440073754,-77.0379190318592
"258",23482,"The City of Westminster WWTP","1161 Old New Windsor Pike","Westminster,MD,21158","Carroll",NA,"PS-20-2653","05/04/2020","05/18/2020","Not Assigned",NA,39.5594440073754,-77.0379190318592
"259",23482,"The City of Westminster WWTP","1161 Old New Windsor Pike","Westminster,MD,21158","Carroll",NA,"SP-20-2645","05/04/2020","05/07/2020","Surface Water Discharge Permit","Municipal Major",39.5594440073754,-77.0379190318592
"260",23493,"Eastern Correctional Institution WTP and WWTP","30209 Perry Road","Westover,MD,21871","Somerset","Penalty Settlement","PS-18-2508","03/06/2018","03/20/2018","Surface Water Discharge Unauthorized","Municipal Minor",38.1580342415661,-75.7088622229779
"261",23521,"Fairmount WWTP","8104 Hall's Creek Rd","Westover,MD,21871","Somerset","Complaint & Penalty","AP-13-1951","07/22/2013","09/23/2013","Surface Water Discharge Permit","Municipal Minor",38.1048789984908,-75.8022469638343
"262",23545,"Mirant - Westland Flyash Site","20831 Martinsburg Rd","Dickerson,MD,20842","Montgomery","Penalty Settlement","PS-18-2495","10/31/2017","11/09/2017","Surface Water Discharge Unauthorized","Industrial Minor",39.1975003894946,-77.4465883033031
"263",23546,"Chesapeake City North WWTP","90 Boatyard Rd","Chesapeake City,MD,21915","Cecil","Penalty Settlement","PS-15-2177","01/02/2015","01/13/2015","Groundwater Discharge Unauthorized","Collection System (SSO)",39.5323988645617,-75.8173299056267
"264",23551,"GenOn MD Ash Management LLC-Faulkner Flyash Management Site","10200 Faulkner Road","Faulkner,MD,20664","Charles","Consent Decree","CJ-13-1926","05/01/2013",NA,"Surface Water Discharge Permit","Industrial Minor",38.4335245899878,-76.9706833973206
"265",23551,"GenOn MD Ash Management LLC-Faulkner Flyash Management Site","10200 Faulkner Road","Faulkner,MD,20664","Charles","Stipulated Penalty","SP-18-2522","08/24/2018","08/24/2018","Surface Water Discharge Permit","Industrial Minor",38.4335245899878,-76.9706833973206
"266",23567,"Rock Hall WWTP","north Main St. & Anderson Ave.","Rock Hall,MD,21661","Kent","Penalty Settlement","PS-15-2149","08/12/2014","09/12/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.1461600217478,-76.2364898978931
"267",23569,"Centreville WWTP","101 Lawyers Row","Centreville,MD,21617","Queen Anne's","Administrative Order","PS-16-2344","11/19/2015","11/19/2015","Surface Water Discharge Permit","Municipal Minor",39.0447630075613,-76.0655010004021
"268",23576,"Harwood Landfill, Inc.","4431 Sands Rd","Harwood,MD,20776","Anne Arundel","Consent Order","CO-13-1892","01/15/2013",NA,"Surface Water Discharge Permit","Industrial Minor",38.8590039823132,-76.6679709948485
"269",23637,"Bel Alton WWTP","9225 Twinberry Drive","Bel Alton,MD,20611","Charles","Amended Consent Order","ACO-06-0268","09/25/2014","09/25/2014","Surface Water Discharge Permit","Municipal Minor",38.4624340148069,-76.995235027772
"270",23637,"Bel Alton WWTP","9225 Twinberry Drive","Bel Alton,MD,20611","Charles","Consent Order","CO-15-2151","09/25/2014","09/28/2015","Surface Water Discharge Permit","Municipal Minor",38.4624340148069,-76.995235027772
"271",23638,"Berlin WWTP","9210 Bottle Branch Rd","Berlin,MD,21811","Worcester","Penalty Settlement","PS-13-1747","09/05/2012","10/15/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3190669596051,-75.2047717065722
"272",23638,"Berlin WWTP","9210 Bottle Branch Rd","Berlin,MD,21811","Worcester","Penalty Settlement","PS-15-2163","10/09/2014","10/29/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3190669596051,-75.2047717065722
"273",23638,"Berlin WWTP","9210 Bottle Branch Rd","Berlin,MD,21811","Worcester","Penalty Settlement","PS-16-2402","06/16/2016","06/23/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3190669596051,-75.2047717065722
"274",23641,"Tylerton WWTP","3039 Union Church Rd, Smith Island","Tylerton,MD,21866","Somerset","Consent Order","CO-10-0998","11/23/2009",NA,"Surface Water Discharge Permit",NA,37.967499395504,-76.0227821470718
"275",23647,"Maybelle Manor Moblie Home Park","218 Mount Zoar Rd","Conowingo,MD,21918","Cecil","Consent Order","COP-15-2156","12/03/2014","12/07/2017","Groundwater Discharge Permit;Groundwater Discharge Unauthorized","Municipal Minor",39.6824674046064,-76.1848267196031
"276",23649,"Gerstell Academy","2500 Old Westminster Pike","Finksburg,MD,21048","Carroll","Consent Order","CO-17-2459","05/03/2017","01/09/2019","Groundwater Discharge Permit","Industrial Minor",39.5120049918222,-76.9035059942736
"277",23650,"Rising Sun WWTP","2500 Conowingo Road","Rising Sun,MD,21911","Cecil","Stipulated Penalty","ACJ-15-2259","04/12/2013","05/30/2013","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",39.7074389965878,-76.0758900346292
"278",23650,"Rising Sun WWTP","2500 Conowingo Road","Rising Sun,MD,21911","Cecil","Consent Decree","CJ-10-1142","03/24/2010","02/10/2015","Surface Water Discharge Permit","Municipal Minor",39.7074389965878,-76.0758900346292
"279",23650,"Rising Sun WWTP","2500 Conowingo Road","Rising Sun,MD,21911","Cecil","Stipulated Penalty","SP-14-2108","07/22/2014","02/10/2015","Surface Water Discharge Permit","Municipal Minor",39.7074389965878,-76.0758900346292
"280",23650,"Rising Sun WWTP","2500 Conowingo Road","Rising Sun,MD,21911","Cecil","Consent Decree","ACJ-15-2259","05/14/2015","10/01/2016","Surface Water Discharge Permit","Municipal Minor",39.7074389965878,-76.0758900346292
"281",23651,"Vienna WWTP","113 Levin-Dorsey Rd","Vienna,MD,21869","Dorchester","Penalty Settlement","PS-18-2500","12/12/2017","12/27/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.4864349997443,-75.8297150000084
"282",23652,"Newark WWTP","7025 Worcester Hwy","Newark,MD,21841","Worcester","Consent Order","CO-15-2250","05/13/2015",NA,"Surface Water Discharge Permit","Municipal Minor",38.2465956330576,-75.2926870161937
"283",23657,"Preston WWTP","105 Back Landing Rd","Preston,MD,21655","Caroline","Consent Order","CO-16-2327","10/13/2015",NA,"Surface Water Discharge Permit","Municipal Minor",38.7070119983369,-75.906528986841
"284",23658,"Federalsburg Wastewater Treatment Plant","125 Kerney Street","Federalsburg,MD,21632","Caroline","Penalty Settlement","PS-13-1734","08/13/2012","09/11/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.6904470105608,-75.7696209917415
"285",23658,"Federalsburg Wastewater Treatment Plant","125 Kerney Street","Federalsburg,MD,21632","Caroline","Penalty Settlement","PS-20-2615","09/23/2019","09/25/2019","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",38.6904470105608,-75.7696209917415
"286",23659,"Greensboro WWTP","13514 Greensboro Rd (rte 313)","Greensboro,MD,21639","Caroline",NA,NA,NA,NA,"Surface Water Discharge Permit",NA,38.9784969804,-75.8022179617253
"287",23659,"Greensboro WWTP","13514 Greensboro Rd (rte 313)","Greensboro,MD,21639","Caroline","Penalty Settlement","PS-12-1704","07/31/2012","08/15/2012","Surface Water Discharge Permit","Municipal Minor",38.9784969804,-75.8022179617253
"288",23664,"Church Hill WWTP","MD Rte 213","Church Hill,MD,21623","Queen Anne's","Penalty Settlement","PS-16-2286","06/30/2015","06/30/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.143204370787,-75.9873456033732
"289",23669,"Fruitland Wastewater Treatment Plant","200 Shady Ln","Fruitland,MD,21826","Wicomico","Consent Order","CO-13-1759","09/06/2012","06/15/2017","Surface Water Discharge Permit","Municipal Minor",38.3336469942102,-75.6320639863072
"290",23669,"Fruitland Wastewater Treatment Plant","200 Shady Ln","Fruitland,MD,21826","Wicomico","Penalty Settlement","PS-19-2541","07/17/2018","07/31/2018","Surface Water Discharge Permit","Municipal Minor",38.3336469942102,-75.6320639863072
"291",23669,"Fruitland Wastewater Treatment Plant","200 Shady Ln","Fruitland,MD,21826","Wicomico",NA,"PS-20-2633","02/13/2020","02/27/2020","Surface Water Discharge Permit","Municipal Minor",38.3336469942102,-75.6320639863072
"292",23670,"Holiday Mobile Estates WWTP","7810 Clark Rd & Keith Lane","Jessup,MD,20794","Anne Arundel","Consent Order","COP-16-2289","07/29/2015","08/11/2015","Surface Water Discharge Permit","Municipal Minor",39.1455400545996,-76.7423199012351
"293",23689,"Shuler's All Pro Car Wash, Inc.","11070 Cathell Rd.","Berlin,MD,21811","Worcester","Administrative Order","SAP-14-2056","02/14/2014","02/28/2014","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",38.3776700069177,-75.1694100051132
"294",23861,"Cobra Mining - Watertank Road","Watertank Road","Barton,MD,21521","Allegany",NA,"C-09-0791",NA,NA,"Not Assigned",NA,39.531120000277,-79.0154550000106
"295",23922,"Severn School","201 Water St","Severna Park,MD,21146","Anne Arundel","Penalty Settlement","15-PS-2192","12/23/2014","01/02/2015","Notice of Intent","Notice of Intent (Construction)",39.0688539804617,-76.5483299723726
"296",24035,"Cox Creek WWTP","8833 Wagner Station Road","Curtis Bay,MD,21226","Anne Arundel","Consent Order","CO-15-2161","10/08/2014","04/10/2019","Surface Water Discharge Permit","Municipal Major",39.1742829833533,-76.5341620410538
"297",24035,"Cox Creek WWTP","8833 Wagner Station Road","Curtis Bay,MD,21226","Anne Arundel","Stipulated Penalty","SP-19-2555","10/02/2018","10/30/2018","Surface Water Discharge Permit","Municipal Major",39.1742829833533,-76.5341620410538
"298",24046,"Anne Arundel County School Transportation Garage","8229 Waterford Road","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-17-2437","02/27/2017","03/14/2017","Surface Water Discharge Permit","Industrial Stormwater",39.1221210167613,-76.5598489704462
"299",24703,"Oldfields School","1500 Glencoe Rd","Sparks Glencoe,MD,21152","Baltimore","Consent Order","CO-13-1895","04/05/2013","03/28/2018","Groundwater Discharge Permit","Municipal Minor",39.5550510099991,-76.624326006308
"300",24824,"J. W. Treuth & Sons, Inc","328 Oella Avenue","Catonsville,MD,21228","Baltimore","Consent Order","CO-13-1798","11/13/2012","12/07/2012","Surface Water Discharge Permit",NA,39.2719650127335,-76.7763400343943
"301",24824,"J. W. Treuth & Sons, Inc","328 Oella Avenue","Catonsville,MD,21228","Baltimore","Penalty Settlement","CO-13-1798","11/13/2012","12/07/2012","Surface Water Discharge Permit",NA,39.2719650127335,-76.7763400343943
"302",25373,"Huntingtown High School","4125 Solomons Island Rd","Huntingtown,MD,20639","Calvert","Consent Order","CO-14-2013","10/12/2013","03/31/2016","Groundwater Discharge Permit","Municipal Minor",38.6184490187482,-76.6078689772025
"303",25374,"Calverton School","300 Calverton School Road","Huntingtown,MD,20639","Calvert","Penalty Settlement",NA,"12/19/2013","01/09/2014","Sediment",NA,38.5894309952226,-76.6075020172055
"304",25560,"Taneytown Wastewater Treatment Plant","3200 Whippoorwill Drive","Taneytown,MD,21787","Carroll","Consent Order","CO-13-1755","09/10/2012",NA,"Surface Water Discharge Permit","Municipal Major",39.6634969951817,-77.1997500290334
"305",25560,"Taneytown Wastewater Treatment Plant","3200 Whippoorwill Drive","Taneytown,MD,21787","Carroll",NA,NA,"10/16/2020",NA,"Surface Water Discharge Permit","Municipal Major",39.6634969951817,-77.1997500290334
"306",25886,"Charles County Nursing & Rehab Center, Inc.","10200 La Plata Road","La Plata,MD,20646","Charles","Penalty Settlement","PS-19-2549","08/15/2018","09/11/2018","Surface Water Discharge Unauthorized",NA,38.5335130143371,-76.9584509626382
"307",25927,"North Dorchester High School","5875 Cloverdale Rd","Hurlock,MD,21643","Dorchester",NA,NA,"02/28/2020",NA,"Notice of Intent;Sediment",NA,38.579085738013,-75.8796570493332
"308",25951,"Norris E. Taylor Contractors, Inc.","9 Washington Street","Cambridge,MD,21613","Dorchester","Amended Complaint & Order","AOP-13-1871","03/07/2013","07/01/2015","Sediment",NA,38.5607331093858,-76.0690027330926
"309",26971,"Betterton WWTP","28 Third Ave","Betterton,MD,21610","Kent","Penalty Settlement","PS-12-1638","08/14/2012","09/14/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",39.3673340136862,-76.0583379942266
"310",26971,"Betterton WWTP","28 Third Ave","Betterton,MD,21610","Kent","Penalty Settlement","PS-15-2127","09/18/2014","09/25/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.3673340136862,-76.0583379942266
"311",26971,"Betterton WWTP","28 Third Ave","Betterton,MD,21610","Kent","Penalty Settlement","SP-20-2619","10/16/2019","11/12/2019","Surface Water Discharge Permit","Municipal Minor",39.3673340136862,-76.0583379942266
"312",28150,"WSSC Piscataway WRRF","11 W Farmington Rd","Accokeek,MD,20607","Prince George's","Penalty Settlement","PS-13-1840","01/17/2013","03/30/2013","Surface Water Discharge Permit","Municipal Minor",38.6887275045983,-76.9959925006943
"313",28150,"WSSC Piscataway WRRF","11 W Farmington Rd","Accokeek,MD,20607","Prince George's","Penalty Settlement","PS-14-2025","11/19/2013","12/30/2013","Surface Water Discharge Permit","Municipal Minor",38.6887275045983,-76.9959925006943
"314",28150,"WSSC Piscataway WRRF","11 W Farmington Rd","Accokeek,MD,20607","Prince George's","Penalty Settlement","PS-19-2590","05/22/2019","06/20/2019","Surface Water Discharge Unauthorized","Municipal Major",38.6887275045983,-76.9959925006943
"315",28336,"Chaney Enterprises","5200 Chrysler Way","Upper Marlboro,MD,20772","Prince George's","Administrative Order","AOP-16-2305","09/23/2015","02/23/2016","Surface Water Discharge Permit","Industrial Minor",38.8169811009257,-76.7391427406366
"316",28336,"Chaney Enterprises","5200 Chrysler Way","Upper Marlboro,MD,20772","Prince George's","Settlement Agreement","SAP-16-2375","02/23/2016","03/23/2016","Sediment","Industrial Minor",38.8169811009257,-76.7391427406366
"317",29004,"Aggregate & Dirt Solutions, LLC","5900 Sheriff Road","Capitol Heights,MD,20743","Prince George's","Penalty Settlement","PS-19-2567","12/18/2018","01/10/2019","Surface Water Discharge Permit","Industrial Minor",38.9077887123706,-76.903793661777
"318",29661,"Salisbury Armory","28722 Ocean Gateway","Salisbury,MD,21801","Wicomico","Settlement Agreement","SAP-13-1957","07/12/2013","08/08/2013","Notice of Intent;Sediment",NA,38.3761919842905,-75.6162459944402
"319",29763,"Newland Park Municipal Landfill","7161 Brick Kiln Rd","Salisbury,MD,21801","Wicomico","Consent Order","CO-16-2360","12/23/2015","02/14/2019","Surface Water Discharge Permit","Municipal Minor",38.3882739949406,-75.6340690215298
"320",29808,"Jubilant Cadista Pharmaceuticals, Inc.","207 Kiley Drive","Salisbury,MD,21801","Wicomico",NA,"PS-20-2632","02/13/2020","02/21/2020","Surface Water Discharge Permit","Industrial Minor",38.403141982109,-75.5747959746179
"321",31284,"P & J Contracting Company, Inc.","4300 Shannon Dr.","Baltimore,MD,21213","Baltimore City","Consent Order","CD-16-2304","10/02/2012","09/09/2015","Sediment;Stormwater Management","Industrial Stormwater",39.3128099849449,-76.5527299682449
"322",31284,"P & J Contracting Company, Inc.","4300 Shannon Dr.","Baltimore,MD,21213","Baltimore City","Consent Decree","CD-16-2304","09/09/2015","02/22/2021","Sediment;Stormwater Management","Industrial Stormwater",39.3128099849449,-76.5527299682449
"323",31284,"P & J Contracting Company, Inc.","4300 Shannon Dr.","Baltimore,MD,21213","Baltimore City",NA,"CJ-21-2692","02/10/2021",NA,"Sediment;Stormwater Management","Industrial Stormwater",39.3128099849449,-76.5527299682449
"324",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Stipulated Penalty","SP-14-2074","04/01/2014","04/27/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"325",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Consent Decree","1:05-cv-02028-AMD","09/20/2005",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"326",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Stipulated Penalty","SP-18-2516","03/06/2018","04/28/2018","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"327",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Stipulated Penalty","SP-16-2391","05/24/2016","06/15/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"328",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Stipulated Penalty","SP-19-2546","07/31/2018","10/23/2018","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"329",31394,"Baltimore County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Baltimore","Stipulated Penalty","SP-21-2664","07/29/2020","09/10/2020","Surface Water Discharge Unauthorized","Municipal Major",38.8181992843377,-76.1587300003377
"330",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Stipulated Penalty",NA,"10/22/2012","10/22/2012","Surface Water Discharge Unauthorized",NA,39.2905800002388,-76.6092599995553
"331",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Stipulated Penalty",NA,"09/11/2013","01/31/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"332",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Consent Decree","CJ-03-0115","09/30/2002","10/10/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"333",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Penalty Settlement","PS-15-2210","01/30/2015","02/18/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"334",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Stipulated Penalty","SP-16-2372","03/04/2016","04/26/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"335",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Stipulated Penalty","SP-17-2445","06/01/2017","07/19/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"336",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Consent Decree","JFM-02-1524","10/12/2017",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"337",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Joint Federal/State","JFM-02-1524","10/12/2017",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
"338",31395,"Baltimore City Sanitary Sewer Overflows","City Wide Sewerage System","Baltimore,MD,00000","Baltimore City","Stipulated Penalty","SP-19-2372","11/27/2018","01/07/2019","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2905800002388,-76.6092599995553
