"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Inspection.Type","Inspection.Date","Permit.No","NPDES.No","Complaint.Tracking.No","Inspection.Reason","Site.Status","Site.Condition","Recommended.Actions","Compliance.Assist.","Latitude","Longitude"
"126",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","NPDES Construction Activity","08/15/2017","17-SF-0024","MDRCK02QS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","Y",NA,NA
"127",137894,"Towson University - Osler Drive","Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld","Towson,MD,21284","Baltimore","Waterway Construction","08/17/2017","13-NT-0048",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"128",141215,"BGE-Bagley to Graceton Substation","runs from the site of the planned Bagley substation southeast of Fallston and approximately 3 miles , south/south-west of Bel Air generally north to the site of the existing Graceton substation, in the , northern part of the county.","Bel Air,MD,21047","Harford","Nontidal Wetlands","08/22/2017","14-NT-0011",NA,NA,NA,"Inactive","Satisfactory/Compliance","Additional Investigation Required,Close File","N",NA,NA
"129",144271,"FR DPW-Bridge No F-20-04-Lewistown Road","Lewistown Road over Fishing Creek, Lewistown Road approximately 0.5 miles east of Hessong Bridge Road.","Thurmont,MD,21788","Frederick","Waterway Construction","09/05/2017","14-NT-3253",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"130",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","State_federal SWM","09/19/2017","17-SF-0024","MDRCK02QS",NA,NA,"Active","Additional Investigation Required","Additional Investigation Required","Y",NA,NA
"131",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","NPDES Construction Activity","09/19/2017","17-SF-0024","MDRCK02QS",NA,NA,"Active","Additional Investigation Required","Additional Investigation Required","Y",NA,NA
"132",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","10/24/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"133",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","10/24/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"134",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","Nontidal Wetlands","10/24/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"135",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","10/25/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"136",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","10/25/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"137",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","State_federal SWM","10/26/2017","17-SF-0024",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",NA,NA
"138",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","11/09/2017","15-SF-0289","MDRCQS0E",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"139",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","11/09/2017","15-SF-0289","MDRCQS0E",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"140",142582,"City of Frederick-Waterford Park","Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue","Frederick,MD,21701","Frederick","NPDES Construction Activity","11/15/2017","14-NT-3122","MDRCK01M4",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"141",142582,"City of Frederick-Waterford Park","Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue","Frederick,MD,21701","Frederick","Waterway Construction","11/15/2017","14-NT-3122","MDRCK01M4",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"142",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","11/16/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"143",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","Nontidal Wetlands","11/16/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"144",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","11/16/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"145",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","Nontidal Wetlands","11/16/2017","12-NT-0404","MDRCC037F",NA,NA,"Active","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"146",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","Waterway Construction","11/16/2017","12-NT-0404","MDRCC037F",NA,NA,"Active","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"147",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","NPDES Construction Activity","11/16/2017","12-NT-0404","MDRCC037F",NA,NA,"Active","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"148",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","NPDES Construction Activity","11/21/2017",NA,"MDRCC037F",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"149",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","NPDES Industrial Minor Surface Water","11/21/2017","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"150",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","Sediment_Erosion","11/21/2017","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"151",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","NPDES Construction Activity","11/21/2017","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"152",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","NPDES Construction Activity","11/28/2017","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"153",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Waterway Construction","11/28/2017","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"154",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","State_federal SWM","11/28/2017","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"155",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Nontidal Wetlands","11/28/2017","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"156",155921,"Thomas Garwin and Sally Ericsson","located adjoining 3151 Turkey Point Road, Block A Turkey Neck Estates, Map 0067 Grid 0007 Parcel 0019","Swanton,MD,21561","Garrett","Waterway Construction","12/01/2017","17-NT-3042",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"157",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","12/12/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"158",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","12/12/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"159",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","12/20/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"160",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","12/20/2017","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"161",152348,"Bowman Oakridge Mills","situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School","Hagerstown,MD,21740","Washington","Sediment_Erosion","01/08/2018","18-WA-0021","MDRCV02CF",NA,NA,"Inactive","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"162",152348,"Bowman Oakridge Mills","situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School","Hagerstown,MD,21740","Washington","NPDES Construction Activity","01/08/2018","18-WA-0021","MDRCV02CF",NA,NA,"Inactive","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"163",159200,"F-16 Crash Site Remediation","38.7592,-76.9266",NA,"Not Yet Determined","State_federal SWM","01/16/2018","18-SF-0059",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"164",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","NPDES Construction Activity","01/17/2018","17-SF-0024","MDRCK02QS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"165",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","State_federal SWM","01/17/2018","17-SF-0024","MDRCK02QS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"166",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","NPDES Construction Activity","01/17/2018","12-NT-0404","MDRCC037F",NA,NA,"Active - No work today","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"167",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","Nontidal Wetlands","01/17/2018","12-NT-0404","MDRCC037F",NA,NA,"Active - No work today","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"168",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","Waterway Construction","01/17/2018","12-NT-0404","MDRCC037F",NA,NA,"Active - No work today","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"169",150623,"St Charles Community LLC-Village of Wooded Glen Neighborhood 2","S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd","Saint Charles,MD,20602","Charles","Waterway Construction","01/18/2018","15-NT-0383",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"170",150623,"St Charles Community LLC-Village of Wooded Glen Neighborhood 2","S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd","Saint Charles,MD,20602","Charles","NPDES Construction Activity","01/18/2018",NA,"MDRCI01WE",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"171",138891,"Towson Run at Cloisters","Stream Corridor on Towson Univ and Sheppard Pratt Properties defined by Charles St,, Abbey View Way and Gatehouse Dr","Towson,MD,21204","Baltimore","NPDES Construction Activity","01/23/2018",NA,"MDRCC037F",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"172",146121,"HO SWM-Woodlot Road","Woodlot Road, Stretch of stream (~850 lf) extending West from Harpers Farm Road approximately 150 yards South of, Woodlot Road intersection","Columbia,MD,21044","Howard","Nontidal Wetlands","01/23/2018","15-NT-3162","MDRCN03KF",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"173",146121,"HO SWM-Woodlot Road","Woodlot Road, Stretch of stream (~850 lf) extending West from Harpers Farm Road approximately 150 yards South of, Woodlot Road intersection","Columbia,MD,21044","Howard","NPDES Construction Activity","01/23/2018","15-NT-3162","MDRCN03KF",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"174",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","01/24/2018","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"175",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","01/24/2018","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"176",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Nontidal Wetlands","02/13/2018","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"177",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","NPDES Construction Activity","02/13/2018","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"178",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Waterway Construction","02/13/2018","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"179",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","State_federal SWM","02/13/2018","12-SF-0198,17-NT-3188","MDRCYS081",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"180",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","02/20/2018","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"181",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","02/20/2018","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"182",150623,"St Charles Community LLC-Village of Wooded Glen Neighborhood 2","S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd","Saint Charles,MD,20602","Charles","Nontidal Wetlands","02/21/2018",NA,"MDRCI01WE","18-2309",NA,"Active","Noncompliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"183",150623,"St Charles Community LLC-Village of Wooded Glen Neighborhood 2","S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd","Saint Charles,MD,20602","Charles","NPDES Construction Activity","02/21/2018",NA,"MDRCI01WE","18-2309",NA,"Active","Noncompliance","Additional Investigation Required,Continue Routine Inspection","N",NA,NA
"184",150623,"St Charles Community LLC-Village of Wooded Glen Neighborhood 2","S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd","Saint Charles,MD,20602","Charles","NPDES Construction Activity","02/21/2018",NA,"MDRCI01WE","18-2309",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"185",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Nontidal Wetlands","03/13/2018","12-SF-0198,17-NT-3188","MDRCYS081","18-1070",NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"186",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","NPDES Construction Activity","03/13/2018","12-SF-0198,17-NT-3188","MDRCYS081","18-1070",NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"187",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","State_federal SWM","03/13/2018","12-SF-0198,17-NT-3188","MDRCYS081","18-1070",NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"188",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","Waterway Construction","03/13/2018","12-SF-0198,17-NT-3188","MDRCYS081","18-1070",NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"189",140448,"Stewart Properties-Principio Business Park-Regional Distribution Center","North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901","Cecil","Sediment_Erosion","03/28/2018","17NT0281","MDRCH03FC",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"190",140448,"Stewart Properties-Principio Business Park-Regional Distribution Center","North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901","Cecil","Nontidal Wetlands","03/28/2018","17NT0281","MDRCH03FC",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"191",140448,"Stewart Properties-Principio Business Park-Regional Distribution Center","North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901","Cecil","NPDES Construction Activity","03/28/2018","17NT0281","MDRCH03FC",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"192",136911,"MD DNR-C and O Canal NHP-Western Maryland Rail Trail","Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot","Hancock,MD,21750","Washington","State_federal SWM","04/11/2018","12-SF-0198",NA,"18-1070",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"193",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","NPDES Construction Activity","04/17/2018","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"194",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","NPDES Industrial Minor Surface Water","04/17/2018","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"195",152512,"Demolition Plan for M.E.L.P.","situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek","Hagerstown,MD,21740","Washington","Sediment_Erosion","04/17/2018","13-DP-3794,15-WA-0145","MDRCV02DR",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"196",159840,"COLUMBIA GAS - CUMBERLAND STREET GAS LINE REPLACEMENT","CUMBERLAND, CARROLL, SCHLEY, SARATOGA, MT. VIEW, TILGHMAN, SEDGEWICK, NIAGARA, MAGRUDER STREETS, PAW PAW WAY AND ESSEX PLACE","Cumberland,MD,21502","Allegany","Sediment_Erosion","04/18/2018","18-AL-0039",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"197",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","NPDES Construction Activity","04/25/2018","17-SF-0024","MDRCK02QS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"198",157268,"NIBC Hazardous Materials Storage","First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St","Fort Detrick,MD,20875","Frederick","State_federal SWM","04/25/2018","17-SF-0024","MDRCK02QS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"199",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","05/11/2018","15-SF-0289","MDRCQF03E",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"200",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","05/11/2018","15-SF-0289","MDRCQF03E",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"201",140448,"Stewart Properties-Principio Business Park-Regional Distribution Center","North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901","Cecil","Nontidal Wetlands","05/11/2018","17NT0281","MDRCH03FC",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"202",140448,"Stewart Properties-Principio Business Park-Regional Distribution Center","North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park","North East,MD,21901","Cecil","NPDES Construction Activity","05/11/2018","17NT0281","MDRCH03FC",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
