"","Site.No","Site.Name","Street.Address","County","City..State.Zip","Type"
"2160",147296,"Library of Congress Storage Facility at Fort Meade Book Storage Module 5","Rock Ave, 39.088846 -76.732445","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2161",72541,"Douglas Hamilton","5907 Alexander Lane","Anne Arundel","Deale,MD,20751","Compliance"
"2162",141630,"Sewell Memorial Garden","134 Tobacco Ridge Rd","Calvert","Prince Frederick,MD,20678","Compliance"
"2163",150683,"New Life Baptist Church","1990 S Solomons Island Rd","Calvert","Prince Frederick,MD,20678","Compliance"
"2164",153956,"Middleham Chapel Estates","10395 H.G. Trueman Rd.","Calvert","Lusby,MD,20657","Compliance"
"2165",154206,"Teeba Wood Subdivision","Teeba Dr.","Calvert","Saint Leonard,MD,20685","Compliance"
"2166",105047,"Fr Public Schools/frederick High School","FREDERICK HIGH SCHOOL/WEST PATRICK ST","Frederick","Frederick,MD","Compliance"
"2167",142918,"Ft. Meade BAO Permanent Modular Facility","39.099384 -76.722098","Anne Arundel","Odenton,MD,21113","Compliance"
"2168",144015,"Construction on new building, child play, area & associated parking on Navy Facilities base","38.989199 -76.465590","Anne Arundel","Naval Academy,MD,21402","Compliance"
"2169",149106,"GA Engineering-Dung Hill Road","2008 Maryland Hwy, Ste 3, Attn: David Ritchie","Garrett","Oakland,MD,21550","Compliance"
"2170",138879,"Garrett County Roads-Swanton Rd","Swanton Rd, Garrett County","Garrett","Oakland,MD,21550","Compliance"
"2171",146066,"Fort George Meade 20-inch Waterline Construction","39.104362 -76.727550","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2172",150142,"GA Roads-Penn Cove Road","50 Penn Cove Road","Garrett","Oakland,MD,21550","Compliance"
"2173",96302,"Michael Botsaris","1593 Long Point Road","Anne Arundel","Pasadena,MD,21122","Compliance"
"2174",135690,"Navy Patuxent /Holton Pond #3","North of intersection of Tate and Shaw Rd","St. Mary's","Patuxent River,MD,20670","Compliance"
"2175",142318,"MD 216 Outfall Improvement at Patuxent River","Bridge on MD 216 Over Patuxent River off Main St Laurel","Prince George's","Laurel,MD,20723","Compliance"
"2176",2483,"Georgetown Yacht Basin, Inc.","14020 Augustine Herman Hwy","Kent","Galena,MD,21635","Compliance"
"2177",153095,"Town of Denton Tennis Park","Sharp Road, behind Food Lion, off of US Route 404","Caroline","Denton,MD,21629","Compliance"
"2178",138295,"MD SHA-MD 5","MD 5 at MP 24.38","St. Mary's","Leonardtown,MD,20650","Compliance"
"2179",107996,"St. Barnabas Rd Elevated Storage Tank II","38.811489 -76.971295","Prince George's","Oxon Hill,MD,20745","Compliance"
"2180",153946,"Erskine at Old Village rd","28795 Md Rt 5","St. Mary's","Mechanicsville,MD,20659","Compliance"
"2181",150738,"Kenneth B Sterbenz FHO","24260 Mt Pleasant rd","St. Mary's","Hollywood,MD,20636","Compliance"
"2182",139571,"Crossings at Riverside Farms","Greens Crossing Court Rd","St. Mary's","Drayden,MD,20630","Compliance"
"2183",151982,"McHenry Cove LLC-Lodges at Lakeside Village","147 Deep Creek Drive","Garrett","Mc Henry,MD,21541","Compliance"
"2184",152950,"PAF 16-2368 Alexander Crossing HOA Common area","Betweeen 22 and 46 Loveton Farms Court, HOA common area","Baltimore","Sparks Glencoe,MD,21152","Compliance"
"2185",154207,"PAF 17-2091 / Gas Dock near Cove Point LNG","2100 Cove Point Road","Calvert","Lusby,MD,20657","Compliance"
"2186",153973,"Logging Activities in Forested Wetlands Across the Road from 1902 Ardlyn Ct","1902 Ardlyn Ct","Prince George's","Bowie,MD,20716","Compliance"
"2187",142980,"Canton Railroad Kane Street Storage Yard","39.292020 -76.533099","Baltimore City","Baltimore City,MD,21224","Compliance"
"2188",150612,"KES Farms LLC-Staging Area","6821 Schoolhouse Ln","Talbot","Royal Oak,MD,21662","Compliance"
"2189",4017,"Broadwater Water Reclamation Facility","1161 Deep Cove Road","Anne Arundel","Churchton,MD,20733","Compliance"
"2190",148335,"10 inch Waterline - Fort Meade","39.093356,-76.760645, MD 32","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2191",22393,"Fairlands Sports & Aquatic Complex","13820 Old Gunpowder Rd","Prince George's","Laurel,MD,20707","Compliance"
"2192",134570,"KES Farms LLC-Schoolhouse Road, Parcel 283, Lot 2B","6674 Schoolhouse Ln, Parcel 283, Lot 2B","Talbot","Royal Oak,MD,21662","Compliance"
"2193",150659,"Maryland State Police Flight Training Facility","Martin State Airport, 39.317251,-76.408605","Baltimore","Middle River,MD,21220","Compliance"
"2194",23524,"Cobb Island WWTP","12100 Swan Point Blvd, 1600 Blk. Cobb Island Rd","Charles","Cobb Island,MD,20625","Compliance"
"2195",143830,"Saint Michaels Municipal Street Reconstruction","Fremont & Chesnut Streets & Chew & East Maple Avenues","Talbot","Saint Michaels,MD,21663","Compliance"
"2196",146064,"Construct 40 Space Parking Lot - Bldg 2474 Kimbrough Ambulatory Care Center","39.097299 -76.726618","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2197",107848,"William Heisch","Lot 2, Avonia Ave, Poplar Rd","Talbot","Sherwood,MD,21662","Compliance"
"2198",23009,"Fairview Marina","1575 Fairview Beach Rd","Anne Arundel","Pasadena,MD,21122","Compliance"
"2199",147414,"TA DPW-Dutchmans Lane","29701 Dutchmans Lane","Talbot","Easton,MD,21601","Compliance"
"2200",146874,"Upgrade existing water distribution system by extending the water main(s) to complete a loop for re","39.340513 -76.584164","Baltimore City","Baltimore City,MD,21218","Compliance"
"2201",146898,"Demolition of 4 buildings at Ft. meade and 1 at Ft, Detrick","39.086809 -76.723591","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2202",152085,"3024 North Hobbs Rd Adam Carton","3024 North Hobbs Road","Howard","Glenwood,MD,21738","Compliance"
"2203",23199,"Comer Construction, Inc.","900 Cirelli Ct, Lot 3, Aberdeen Industri Center","Harford","Aberdeen,MD,21001","Compliance"
"2204",150604,"AL DPW-Creek Road","Creek Road","Allegany","Cumberland,MD,21502","Compliance"
"2205",152985,"Charlotte Hall Industrial Subdivision, Lot 4","37333 Carpenter Lane","St. Mary's","Charlotte Hall,MD,20622","Compliance"
"2206",153024,"Vista Business Park Love's Travel Stop","located near the intersection of Showalter Rd and Airport Exit Rd","Washington","Hagerstown,MD,21742","Compliance"
"2207",128618,"Rocky Gorge Development Inc-Bartgis Property","E OF SHOOKSTOWN RD & MONTEVUE DR","Frederick","Frederick,MD,21702","Compliance"
"2208",145878,"Chessie Federal Credit Union-Messick Road","12401 Messick Road","Allegany","Cumberland,MD,21502","Compliance"
"2209",144759,"C & S Wholesale Grocers, Inc - Aberdeen","1000 & 1008 Old Philadelphia Rd","Harford","Aberdeen,MD,21001","Compliance"
"2210",141236,"Adams Crossing","Vivian Adams Dr","Charles","Waldorf,MD,20601","Compliance"
"2211",136260,"Allegany County Fairgrounds","11400 Moss Avenue","Allegany","Cumberland,MD,21501","Compliance"
"2212",169956,"White Marsh Run Vernal Pools Mitigation Site","East of Pulaski Hwy, 10300 Block","Baltimore","White Marsh,MD,21162","Compliance"
"2213",144174,"6th Armored Calvary Rd Water Main Extension","39.094637 -76.752018","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"2214",154881,"PAF 17-2085 2718 Gwynnmore Avenue","rear of 2718 Gwynnmore Avenue","Baltimore","Baltimore,MD,21207","Compliance"
"2215",90429,"Annapolis Parks And Rec/truxton Park/marsh","TRUXTON PARK","Anne Arundel","Annapolis,MD","Compliance"
"2216",154116,"406 Deale","406 Deale Rd","Anne Arundel","Deale,MD,20751","Compliance"
"2217",146696,"Sediment and Erosion Repairs to Amphitheater on Indian head Naval Base","38.597721 -77.183633","Charles","Indian Head,MD,20640","Compliance"
"2218",154356,"PAF 17-2101/Poplar Road","Poplar Road near Baltimore Yacth Club","Baltimore","Essex,MD,21221","Compliance"
"2219",150610,"Building 459 Stream Stabilization Plan - US Navy, NSF Indian Head","near Bronson Rd & Propellant Circle, 38.587278 -77.182235","Charles","Indian Head,MD,20640","Compliance"
"2220",150931,"FR Highway Operations-Blacks Mill Road","Blacks Mill Rd, 1 mi from Catoctin Furnace Rd","Frederick","Thurmont,MD,21788","Compliance"
"2221",154360,"John and Christy Waters","306 Sandy Hill Road","Dorchester","Cambridge,MD,21613","Compliance"
"2222",142450,"MD DNR, Forest Service-Savage River State Park","Compartment 77, Glendale Road","Garrett","Swanton,MD,21561","Compliance"
"2223",21907,"Salisbury Christian School","807 Parker Rd","Wicomico","Salisbury,MD,21804","Compliance"
"2224",150868,"Stump Neck and Indian Head Magazines repair","Strauss Ave, 38.578601,-77.197610","Charles","Indian Head,MD,20640","Compliance"
"2225",150922,"Town of Thurmont-Bridge No F-T-01-Moser Road","Moser Road","Frederick","Thurmont,MD,21788","Compliance"
"2226",109231,"MD DNR, Park Service-Deep Creek Lake State Park","State Park Road","Garrett","Swanton,MD,21561","Compliance"
"2227",138963,"River Run Farms LLC-Park Lane","Park Lane and Carroll Street","Frederick","Thurmont,MD,21788","Compliance"
"2228",125249,"GA Roads-Glendale Road","GLENDALE RD AT ZEDDOCK MILLER RD","Garrett","Swanton,MD,21561","Compliance"
"2229",10601,"City of Rockville-King Farm Stream Valley Park","West Gude Dr. & Redland Blvd","Montgomery","Rockville,MD,20850","Compliance"
"2230",92387,"John Collins","4705 Leitches Wharf Road","Calvert","Prince Frederick,MD,20678","Compliance"
"2231",104537,"Mark and Laurie Gillman","2310 Sollers Wharf Road","Calvert","Lusby,MD,20657","Compliance"
"2232",139617,"Wayne Tabor Jr","10077 Breeden Road","Calvert","Lusby,MD,20657","Compliance"
"2233",129806,"Scenic Manor","Chapel Road","Harford","Havre De Grace,MD,21078","Compliance"
"2234",146800,"Landsdale","10808 Fingerboard Rd","Frederick","Monrovia,MD,21771","Compliance"
"2235",127175,"Landsdale Development II LLC","Ed McClain Rd","Frederick","Monrovia,MD,21770","Compliance"
"2236",155327,"PAF 17-2107 BA DPW at York Road and Recycle Way","York Road and Recycle Way","Baltimore","Cockeysville,MD,21030","Compliance"
"2237",140118,"Mark Gieron","4200 Ruggles Road","Carroll","Taneytown,MD,21787","Compliance"
"2238",140024,"Jeff Davis","1801 Otterdale Mill Road","Carroll","Taneytown,MD,21787","Compliance"
"2239",139611,"CL DPW-Unger Road","Near 3315 Unger Road","Carroll","Taneytown,MD,21787","Compliance"
"2240",152721,"Stonecrest","Stonecrest Circle","Washington","Keedysville,MD,21756","Compliance"
"2241",67136,"JACA Farm (Expansion)","720 Hall Rd","Queen Anne's","Sudlersville,MD,21668","Compliance"
"2242",140023,"Kenneth Staley","4330 Littlestown Pike","Carroll","Westminster,MD,21158","Compliance"
"2243",142641,"City of Frederick-WWTP","8145 Gas House Pike","Frederick","Frederick,MD,21701","Compliance"
"2244",154175,"Woodspring Suites Value Place Hotel","337 Ballenger Center Dr","Frederick","Frederick,MD,21701","Compliance"
"2245",145756,"Gas Well Road Cell Tower","Gas Well Road","Garrett","Grantsville,MD,21536","Compliance"
"2246",154228,"Robin's Glen SWM Pond 1","11200 Robin's Glenn Drive","Washington","Hagerstown,MD,21742","Compliance"
"2247",154292,"PAF 16-2325 @ 1801 Monroe Street","1800 Monroe Street","Baltimore City","Baltimore City,MD,21230","Compliance"
"2248",154174,"Donnay Property","13802 Catoctin Hollow Rd","Frederick","Thurmont,MD,21788","Compliance"
"2249",152861,"Habib Malik","786 Oak Grove Circle","Anne Arundel","Severna Park,MD,21146","Compliance"
"2250",139763,"Carl Feusahrens","247 Cove Dr","Calvert","Lusby,MD,20657","Compliance"
"2251",141055,"Kirk and Joyce Cantrell","256 Elkins Lane","Calvert","Lusby,MD,20657","Compliance"
"2252",138460,"Pete Fleury","21700 Paw Paw Point Way","St. Mary's","Leonardtown,MD,20650","Compliance"
"2253",105837,"Arundel Corp/arundel Quarry/excavation","RT 155 (LEVEL ROAD)","Harford","Havre De Grace,MD","Compliance"
"2254",133741,"Oliveria Homes Inc-Langley Estates","Ted Bowling Road on north side of MD 5","Charles","Bryantown,MD,20617","Compliance"
"2255",140074,"CL DPW-Relief Sewer #6","MD 32 just north of Circle Drive","Carroll","Eldersburg,MD,21784","Compliance"
"2256",72877,"SM Waterford Estates LLC-Marlboro Riding","Old Marlboro Pike","Prince George's","Upper Marlboro,MD,20772","Compliance"
"2257",128130,"Persimmon Tree Farm-Carolyn Krome","1030 Bloom Rd","Carroll","Westminster,MD,21157","Compliance"
"2258",65463,"Ballenger/McKinney WWTP Expansion & Upgrade","MARCIES CHOICE LN","Frederick","Frederick,MD,21704","Compliance"
"2259",154291,"PAF 16-2403 at Top Carry Out","1301 Hollins Street","Baltimore City","Baltimore City,MD,21223","Compliance"
"2260",154224,"Spring Mills Road (Private common driveway)","Spring Mills Road","Carroll","Westminster,MD,21157","Compliance"
"2261",7418,"Clorox Manufacturing Company","1319 Perryman Road","Harford","Aberdeen,MD,21001","Compliance"
"2262",140094,"City of Westminster-Little Pipe Creek","SR 852 (Old New Windsor Pike and Congregational Dr)","Carroll","Westminster,MD,21157","Compliance"
"2263",90266,"Ralph Robertson","1420 Old New Windsor Pike","Carroll","Westminster,MD,21157","Compliance"
"2264",125707,"SM Waterford Estates LLC-Marlboro Pointe","RITCHIE MARLBORO RD","Prince George's","Upper Marlboro,MD,20772","Compliance"
"2265",154290,"PAF 16-2321 at Joy Enterprises t/a Victor���s Place","3100 Hammonds Ferry Road","Baltimore","Baltimore,MD,21227","Compliance"
"2266",134559,"Paul Sohl","44825 Three Coves Rd","St. Mary's","Hollywood,MD,20636","Compliance"
"2267",139773,"Colleen Histon","1126 Slingluff Road","Carroll","New Windsor,MD,21776","Compliance"
"2268",150733,"Krista Marks","44791 Smiths Nursery Road","St. Mary's","Hollywood,MD,20636","Compliance"
"2269",154117,"Mokam Auto LLC","2725 #D Old Washington Road","Charles","Waldorf,MD,20601","Compliance"
"2270",153874,"Gary Sisler Farm Field Fill Area","Pinewood Drive","Garrett","Mc Henry,MD,21541","Compliance"
"2271",128240,"Lake Marlton Lp/east Marlton/rd Xing,","Heathermore Blvd","Prince George's","Marlton,MD,20772","Compliance"
"2272",147201,"Sam Friend Fill Site","Sky View Drive, RT. 219","Garrett","Mc Henry,MD,21541","Compliance"
"2273",109554,"John Maguire","7955 Broomes Island Road","Calvert","Broomes Island,MD,20615","Compliance"
"2274",143689,"Delmarva Power and Light Company-Wicomico River","611 Ridge Road, Ridge Rd","Wicomico","Salisbury,MD,21801","Compliance"
"2275",131918,"Cedar Grove Road Properties LLC Pier","Rt 16 to Cedar Grove Road, Site is on the right","Dorchester","Dorchester,MD","Compliance"
"2276",149630,"MO DOT-Sunflower Drive","Sunflower Drive and Hornbeam Drive","Montgomery","Rockville,MD,20853","Compliance"
"2277",152404,"Michael Lesniowski","826 Roberts Station Road","Queen Anne's","Church Hill,MD,21623","Compliance"
"2278",153136,"UM - M-Square School Site, Riverside Lots 2-4","near River Rd, 38.969361,-76.926950","Prince George's","Riverdale,MD,20737","Compliance"
"2279",154119,"UMUC Chattered Elementary and Middle School On Rivertech Road","5751 Rivertech Road","Prince George's","Riverdale,MD,20737","Compliance"
"2280",71138,"Beard, Joe/bulkhead","1124 Shore Dr","Anne Arundel","Edgewater,MD,21037","Compliance"
"2281",154176,"Penn Shop Farms","12902 Penn Shop Rd","Frederick","Mount Airy,MD,21771","Compliance"
"2282",145770,"MD DNR Forest Service-Savage River State Forest","Compartment 42, Laurel Run Road","Allegany","Barton,MD,21521","Compliance"
"2283",87555,"SM DPW and T-Mechanicsville Road","11 mi so of intersect of MD 5 and Mechanicsville Rd","St. Mary's","Mechanicsville,MD,20659","Compliance"
"2284",154086,"Savage River SF #42, Laurel Run Rd / Rte. 36","Compartment 42 of Savage River State Forest, Off Laurel Run Rd, approx. 2.4 mi. north of old rte. 36","Allegany","Barton,MD,21521","Compliance"
"2285",25830,"MDTA - Harry W. Nice Bridge Maintence Shop","9665 Orland Park Rd","Charles","Newburg,MD,20664","Compliance"
"2286",154769,"PAF 17-2106/7403 Baltimore Annapolis Boulevard (Warren's Bait)","7403 Baltimore Annapolis Boulevard","Anne Arundel","Glen Burnie,MD,21061","Compliance"
"2287",145543,"MD SHA-Project No SM223A21-MD 234","MD 234 at MD 242","St. Mary's","Clements,MD,20624","Compliance"
"2288",107436,"Southern MD Pre-Release Unit WWTP Upgrade","38.500224 -76.777754","St. Mary's","Charlotte Hall,MD,20622","Compliance"
"2289",142863,"MD SHA-Project No PG700B21-MD 210 at Kerby Hill Road","MD 210 at Kerby Hill Road","Prince George's","Fort Washington,MD,20744","Compliance"
"2290",153654,"Savage River SF - #37, Red Dog Road","Compartment 37 of Savage River east of Red Dog Road, N of intersection with Avilton - Lonaconing Roa","Allegany","Lonaconing,MD","Compliance"
"2291",154230,"Zeitler Road and Marley Road","Zeitler Road","Cecil","Elkton,MD,21921","Compliance"
"2292",141528,"MD SHA-Structure No 18067X0-MD 4","MD 4 over trib to St Marys River","St. Mary's","California,MD,20619","Compliance"
"2293",136881,"Duc Le","14980 Chesapeake Bay Drive","St. Mary's","Scotland,MD,20687","Compliance"
"2294",152914,"Charles Sasscer Jr FHO","48391 Villa rd","St. Mary's","Saint Inigoes,MD,20684","Compliance"
"2295",109992,"Mathews, George/revetment","695 Seagull Beach Rd","Calvert","Prince Frederick,MD,20678","Compliance"
"2296",138966,"Nancy Hempstead","6155 Hallowing Point Road","Calvert","Prince Frederick,MD,20678","Compliance"
"2297",141240,"Olivers Crossing","Olivers Shop Rd, 4500' south of intersection of Olivers Shop Rd & MD 231","Charles","Hughesville,MD,20637","Compliance"
"2298",153498,"AL DPW-Warrior Run at Calvary Baptist Church","off McMullen Hwy at Calvary Baptist Church","Allegany","Cumberland,MD,21502","Compliance"
"2299",154210,"Ken Dinnis","107 Long Point Road","Queen Anne's","Grasonville,MD,21638","Compliance"
"2300",73428,"Hunter Mill Woods","Dania Drive, western terinus","Prince George's","Fort Washington,MD,20744","Compliance"
"2301",8373,"J. B. Hunt Transport, Inc.","706 Philadelphia Road","Harford","Joppa,MD,21085","Compliance"
"2302",141472,"North Pointe","Homecoming Ln & Mill Hill Rd","Charles","Waldorf,MD,20601","Compliance"
"2303",68505,"Washington Overlook","2511 Washington Overlook Dr, Ste B","Prince George's","Fort Washington,MD,20744","Compliance"
"2304",154208,"17 Blythwood Road Pool Discharge to Stony Run","17 Blythewood Rd","Baltimore City","Baltimore,MD,21210","Compliance"
"2305",90775,"Pelczar Property Llc/grasonville Station","CHESTER RIVER BEACH RD @ RT 50 OFF-RAMP","Queen Anne's","Grasonville,MD,21638","Compliance"
"2306",154209,"Aliceanna Street and Boston Street green substance in Harbor","2121 Aliceanna Street","Baltimore City","Baltimore City,MD,21231","Compliance"
"2307",147353,"Club One Fitness","210 Country Day Rd","Queen Anne's","Chester,MD,21619","Compliance"
"2308",77174,"La Grange, Alexander/brady Cove/spur","7760 Glen Avenue","Anne Arundel","Pasadena,MD,21122-1717","Compliance"
"2309",145056,"SHA Facility in Laurel HVAC Upgrade","400 2nd St","Prince George's","Laurel,MD,20707","Compliance"
"2310",146675,"Cabin Branch Broadway Avenue","Broadway Avenue","Montgomery","Clarksburg,MD,20876","Compliance"
"2311",146676,"Cabin Branch South side of Clarksburg Road","South side of Clarksburg Road","Montgomery","Clarksburg,MD,20876","Compliance"
"2312",149638,"Clarksburg Premium Outlets at Cabin Branch","I-270 at Exit 18, 22705 Clarksburg Rd","Montgomery","Boyds,MD,20841","Compliance"
"2313",141832,"MD SHA-Project No AT362B21-MD 210","MD 210: Ruth B Swann Dr to Wooster Dr","Charles","Indian Head,MD,20640","Compliance"
"2314",155185,"PAF 17-2119/496 Riverside Drive","496 Riverside Drive","Anne Arundel","Pasadena,MD,21122","Compliance"
"2315",98033,"Md Dnr/piney Point Aquaculture Ctr","17996 Piney Point Rd","St. Mary's","Piney Point,MD,20764","Compliance"
"2316",140430,"PG DPW and T-Burch Hill Road (P-1493)","Burch Hill Road over trib of Piscataway Creek (P-1493)","Prince George's","Clinton,MD,20735","Compliance"
"2317",149410,"Delmarva Power & Light - Line Rebuild","Richardson Street","Wicomico","Salisbury,MD,21801","Compliance"
"2318",155214,"PAF 17-2121/Kindred Way","Kindred Way","Anne Arundel","Glen Burnie,MD,21060","Compliance"
"2319",133694,"Blake Waste Site","12100 Blake Lane, NE","Allegany","Cumberland,MD,21502","Compliance"
"2320",135807,"Walton Canter Creek Development LLC-Canter Creek","Frank Tippett Road","Prince George's","Upper Marlboro,MD,20772","Compliance"
"2321",154118,"10910 North Keys Road","10910 North Keys Road","Prince George's","Brandywine,MD,20613","Compliance"
"2322",141580,"WSSC-3800 Webster Place","R/W and access point at 3800 Webster Place","Prince George's","Fort Washington,MD,20744","Compliance"
"2323",155184,"PAF 17-2093/3912 Calawasse Road","3912 Calawasse Road","Anne Arundel","Edgewater,MD,21037","Compliance"
"2324",72439,"River Farm Agricultural Products LLC","Bunny Rabbit Ln, Tax Map 58c, Pcl 16, 38.977389, -76.190644","Queen Anne's","Queenstown,MD,21658","Compliance"
"2325",149642,"MD SHA - Bridge Nos 2107801 and 2107802","I-81 crossing Potomac River, 1.2 miles south of Interchange I-81 and MD 63/68","Washington","Williamsport,MD,21795","Compliance"
"2326",154143,"NLP of Maryland, LLC; Shingle Camp Refuse Station","North side of Shingle Camp Road, just west of Wisp Mountain Road","Garrett","Mc Henry,MD","Compliance"
"2327",147908,"The Reserve at Elk River","Rock Hollow Ct, Lots 1,3,11","Cecil","Elkton,MD,21921","Compliance"
"2328",134222,"Blunt Marsh Farm","Blunt Marsh Ln","Queen Anne's","Stevensville,MD,21666","Compliance"
"2329",109427,"Wi Roads/williams Mill Pond Rd/culvert","CROSSING AT WILLIAMS MILL POND","Wicomico","Salisbury,MD","Compliance"
"2330",154222,"PAF 17 2116/2801 Clayton Road","2801 Clayton Road","Harford","Abingdon,MD,21009","Compliance"
"2331",129441,"Blossom Point LP","9505 Blossom Point Road","Charles","Welcome,MD,20693","Compliance"
"2332",6186,"Silver Spring Maint Transp Depoit Facil","1800 Randolph Rd","Montgomery","Silver Spring,MD,20906","Compliance"
"2333",97359,"Tiller, Henry/single Family Home And","3395 WILLIAMS POINT RD","Somerset","Marion,MD,21915","Compliance"
"2334",129609,"H & M Wagner and Sons Inc","7204 May Wagner Lane","Anne Arundel","Glen Burnie,MD,21061","Compliance"
"2335",154361,"City of Cambridge Gateway Properties","NW corner of US 50 & Maryland Avenue","Dorchester","Cambridge,MD,21613","Compliance"
"2336",152596,"Liddic Waterfowl Impoundment","3395 Williams Point Rd","Somerset","Marion,MD,21838-0000","Compliance"
"2337",145285,"Maurice Morgan and Melissa Gibson","10700 and 10750 Bluff Point Rd","Charles","Nanjemoy,MD,20662","Compliance"
"2338",149022,"Airport View Drive Office Campus","43883 Airport View dr","St. Mary's","Hollywood,MD,20636","Compliance"
"2339",117411,"Michael Adamitis","1222 Hillcreek Road","Anne Arundel","Pasadena,MD,21122","Compliance"
"2340",23212,"Maryland Recycle Company, Inc. - Glen Burnie","200 8th Ave NW","Anne Arundel","Glen Burnie,MD,21061","Compliance"
"2341",149053,"Sealing-Lot 3 Matapeake Professional Park","Sonny Schulz Boulevard","Queen Anne's","Stevensville,MD,21666","Compliance"
"2342",65588,"John Denison","6020 River Road, Lot 5","Charles","Marshall Hall,MD,20616","Compliance"
"2343",144536,"BC Rec and Parks-Stony Run","parallel to Linkwood Rd, betwn Overhill Rd and University Pkwy","Baltimore City","Baltimore City,MD,21202","Compliance"
"2344",154339,"1220A Hillcreek","1220A Hillcrest Rd","Anne Arundel","Pasadena,MD,21122","Compliance"
"2345",154223,"PAF 17 2124/ 123 Hopkins Road","123 Hopkins Road","Harford","Havre De Grace,MD,21080","Compliance"
"2346",151766,"Bayside Restoration, LLC","4224 Main St.","Queen Anne's","Grasonville,MD,21638","Compliance"
"2347",147061,"Chong FHO","20175 Tippett rd","St. Mary's","Lexington Park,MD,20653","Compliance"
"2348",108636,"Prospect Bay Homeowners Assoc, Inc","PROSPECT BAY COMMUNITY MARINA","Queen Anne's","Grasonville,MD","Compliance"
"2349",152696,"WA Engineering-13155 Resh Road","13155 Resh Road","Washington","Hagerstown,MD,21740","Compliance"
"2350",73156,"Edwards, Phil/single Family Home","1000 BLOCK SUSQUEHANNA AVE","Baltimore","Bowleys Quarters,MD,21220","Compliance"
"2351",76466,"Kern, Carol Jean/rd Xing","-","Baltimore","Middle River,MD,21220","Compliance"
"2352",149235,"Edgar Filippell and Lisa Mister","350 Sherwood Trail","Anne Arundel","Annapolis,MD,21401-6652","Compliance"
"2353",4023,"Annapolis Water Reclamation Facility","7228 Edgewood Road","Anne Arundel","Annapolis,MD,21401","Compliance"
"2354",23182,"Anne Arundel County Roads - Crownsville","1847 Crownsville Road","Anne Arundel","Annapolis,MD,21401","Compliance"
"2355",130854,"ESD Scenic Manor LC","1700 Chapel Rd","Harford","Havre De Grace,MD,21078","Compliance"
"2356",155183,"PAF 17-2090/3250 Fort Meade Road","3250 Fort Meade Road","Anne Arundel","Laurel,MD,20724","Compliance"
"2357",1781,"Assateague Island-National Seashore WWTP","7206 National Seashore Ln","Worcester","Berlin,MD,21811","Compliance"
"2358",125421,"Prince, William/pier, Pilings And Boatlift","149 Inverness Rd","Anne Arundel","Severna Park,MD,21146","Compliance"
"2359",125703,"Dennis Murphy","15317 Potomac River Rd","Charles","Cobb Island,MD,20625","Compliance"
"2360",152672,"CH DPW-Potomac River Drive","15255 Potomac River Dr","Charles","Cobb Island,MD,20625","Compliance"
"2361",146613,"Peter Pomponio","18968 Wicomico River Drive","Charles","Cobb Island,MD,20625","Compliance"
"2362",155186,"PAF 17-2099/3 St. Charles Place","3 St. Charles Place","Anne Arundel","Glen Burnie,MD,21060","Compliance"
"2363",84437,"Carroll and Lois George","Lentz Rd 0.6 mi NW of Steele Rd","Caroline","Henderson,MD,21640","Compliance"
"2364",138691,"MD SHA-Bridge No 0603800-MD 496","MD 496 over Big Pipe Creek","Carroll","Manchester,MD,21088","Compliance"
"2365",153243,"Lancaster Park - Multi Purpose Turf Fields Parking and Entrance Road","21550 Willows Rd","St. Mary's","Lexington Park,MD,20650","Compliance"
"2366",11878,"Annapolis Harbour Center","2512-A Solomons Island Rd","Anne Arundel","Annapolis,MD,21401","Compliance"
"2367",154211,"Kevin Legg","1225 Perry Corner Rd.","Queen Anne's","Grasonville,MD,21638","Compliance"
"2368",151688,"University of Baltimore, Langsdale Library Renovation","near Maryland Ave, 39.306287 -76.618018","Baltimore City","Baltimore City,MD,21201","Compliance"
"2369",8174,"Beltway Used Auto Parts LLC","2421 Kenilworth Ave","Prince George's","Hyattsville,MD,20781","Compliance"
"2370",149119,"Lowin Farms, LLC Solar Array","29500 Queen Anne hwy","Queen Anne's","Queen Anne,MD,21657","Compliance"
"2371",121748,"Verna Prince","149 Inverness Rd","Anne Arundel","Severna Park,MD,21146","Compliance"
"2372",88259,"Mill Spring Estates/outfall","HUCKLEBERRY DR","Charles","Hughesville,MD","Compliance"
"2373",155324,"PAF 17-2126 at 3617 Kings Point Road","3617 Kings Point Road","Baltimore","Randallstown,MD,21133","Compliance"
"2374",23179,"Norfolk Southern Railway Company - Bayview Yard","6000 E Lombard Street","Baltimore City","Baltimore,MD,21224","Compliance"
"2375",138337,"Federal Realty Investment Trust-Mid Pike Plaza","Executive Boulevard","Montgomery","Kensington,MD,20895","Compliance"
"2376",126903,"Artery Development Co/ridge Grove Est/rd","CRACKLINGTOWN RD","Charles","Hughesville,MD","Compliance"
"2377",155325,"PAF 17-2129 at 4527 Ridge Avenue","4527 Ridge Avenue","Baltimore","Halethorpe,MD,21227","Compliance"
